"","ERR3446848","ERR3446849","ERR3446850","ERR3446851","ERR3446852","ERR3446853","ERR3446854","ERR3446855","ERR3446856","ERR3446857","ERR3446858","ERR3446859","ERR3446860","ERR3446861","ERR3446862","ERR3446863","ERR3446864","ERR3446865","ERR3446866","ERR3446867","ERR3446868","ERR3446869","ERR3446870","ERR3446871"
"Erysipelotrichaceae_Merdibacter",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
"Anaerovoracaceae_.Eubacterium..brachy.group",0,0,0,5,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0
"Clostridiaceae_Clostridium.sensu.stricto.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"Atopobiaceae_Atopobium",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Lachnospiraceae_Anaerostignum",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethanoligenenaceae_Acetanaerobacterium",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Rikenellaceae_Rikenella",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"Succinivibrionaceae_Succinivibrio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"Oscillospiraceae_UCG.007",0,0,0,0,0,0,5,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Neisseriaceae_Neisseria",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lachnospiraceae_Cuneatibacter",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillaceae_Lactiplantibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Lachnospiraceae_Catenibacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Ruminococcaceae_Phocea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Ruminococcaceae_Anaerofilum",0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0
"Lachnospiraceae_Sellimonas",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synergistaceae_Pyramidobacter",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coriobacteriales.Incertae.Sedis_Raoultibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
